Unformatted_API_UWI_14,ENVOperator,FirstProdDate,LateralLength_FT,ProppantIntensity_LBSPerFT,WaterIntensity_GALPerFT,OilGravity_API,AvgHzDistAtDrillTimeSameZone_FT,ClosestHzDistAtDrillTimeSameZone_FT,WellName,First12MonthOil_BBL,First12MonthGas_MCF
42389339220000,"MAPLE ENERGY HOLDINGS, LLC",12/1/2013,3212,1279.5723,1512.2354,32,,,YUCCA 5H,48181,211480
42475374080000,EXXON,2/1/2019,9272,,2249.2104,45,365.7670526,365.7670526,MI NOCHE 3H,165856.6,861585.5
42389369660000,DIAMONDBACK,11/1/2018,10043,2047.9183,2321.9941,47,876.9268407,876.9268407,MISBEHAVING STATE UNIT C19-19-14 605H,206687.16,511958.66
42389369460000,"MAPLE ENERGY HOLDINGS, LLC",7/1/2018,4572,3183.3137,3864.6523,53,,,GALLANT FOX 9 1H,63088,716470
42389380840000,OCCIDENTAL,7/1/2019,9949,1750.9801,1799.195,43,,,APOLLO 2-11-6N 13H,142068,304433
42389381270000,CENTENNIAL RESOURCE DEVELOPMENT,10/1/2019,9756,2707.6619,2215.79,50,859.8019532,859.8019532,NICHOLAS G U 21H,222775,686934
42389348770000,CHEVRON,11/1/2015,4531,1623.1472,1627.989,39,,,AFFIRMED 48 1HA,99063,238466
42389339450000,CONOCOPHILLIPS,12/1/2013,4183,1226.5695,1263.6311,46,,,TYCOON A 2504H,92209.69,277266.34
42389370360100,CALLON,8/1/2018,,,,,,,DAVIS 2728 UNIT 10H,,
42109328720000,COTERRA ENERGY,7/1/2016,7175,2398.0444,2632.9966,47,1572.643641,896.9198599,GATO DEL SOL 34 UNIT 3H,180651,910845
42389351340000,OCCIDENTAL,4/1/2016,5397,1390.8293,1344.3868,47,,,JUNIPER STATE UNIT 2-3 1H,78477,240857
42301319110000,DIAMONDBACK,3/1/2013,3469,817.39404,731.7008,45,,,GRAYLING 1-69 2H,35251.39,342927.28
42389349510000,OCCIDENTAL,6/1/2016,7598,1785.9031,1571.334,43,802.8953539,787.8121556,"BUZZARD STATE ""21"" UNIT 16H",168843.06,438807.97
42389346290000,OCCIDENTAL,4/1/2015,4509,1267.8124,983.9685,43,,,APOLLO 2 18H,84150.79,97365.2
42389351540000,EOG,6/1/2016,9751,2111.762,1984.7725,48,796.2033634,790.4824437,STATE APACHE 57 211H,274509,916852
42389353880000,CHEVRON,12/1/2017,3877,2851.2344,2804.9795,44,1739.900499,1739.900499,CALAMITY JANE 2109H,133725.75,334407.03
42109328590000,1920 ENERGY,10/1/2015,7258,2023.2229,1570.9576,54,1513.520337,1513.520337,MUSTANG STATE UNIT 1H,45640,353473
42389344070000,OCCIDENTAL,1/1/2015,4001,1414.1375,1662.2909,43,1044.900983,1044.900983,EAGLE STATE 28 6H,108540.9,188740.38
42389347790000,OCCIDENTAL,5/1/2015,3717,1600.6699,1706.3729,43,445.2971353,445.2971353,EAGLE STATE 28 17H,65376.086,114587.695
42389342930000,EOG,12/1/2017,4973,2187.2173,1452.9736,49,724.4782167,662.0900924,STATE APACHE 57 1108H,74037,284953
42389357450000,"MAPLE ENERGY HOLDINGS, LLC",12/1/2017,6802,3076.59,3617.4827,45,2554.276716,2554.276716,OMAHA 11 1H,254058,503273
42389359100000,CHEVRON,3/1/2018,7826,2524.603,2433.7654,41,834.4014002,827.0041162,TRIGGER 39-40 UNIT C 11HL,27193.86,147678.88
42389362430000,CENTENNIAL RESOURCE DEVELOPMENT,1/1/2018,9471,,2471.3704,49,840.5117494,793.7553239,POP D 4-59 60 U 31H,165472,1325391
42389365230000,APA CORP,5/1/2018,4248,1775.7194,1805.8418,50,823.2452376,779.3498852,GRANT 405AH,97438,553592
42389370360000,CALLON,8/1/2018,9995,2010.5201,2411.6594,49,,,DAVIS 2728 UNIT 10H,183944,1050388
42389376140000,APA CORP,2/1/2020,4360,2263.5066,1992.7555,50,841.4986397,783.9463953,JACKSON 405AH,74273,406868
42389380080000,EOG,,9071.019,,,,1102.019318,1097.505259,STATE OREDIGGER UNIT 4H,,
42389380340000,DIAMONDBACK,8/1/2019,10240,,,48,815.9626699,776.1456395,CHECKERS STATE UNIT 54-12-21 605H,212937.69,878799
42389384640000,CENTENNIAL RESOURCE DEVELOPMENT,11/1/2019,8346,2560.046,1976.6621,48,939.2199479,939.2199479,STATE RIFLEMAN C-18 B U 30H,110944,1112530
42389386850000,OCCIDENTAL,6/1/2020,10237,1826.2504,1103.3567,52,901.3571239,901.3571239,YORKTOWN STATE 55-4-38 UNIT 4H,151863,661962
42389348100100,EXXON,7/1/2016,4846,1525.8574,1506.6698,50,,,HURLEY 56-18 1H,145488,518972
42389357040000,OCCIDENTAL,1/1/2018,4098,1482.3182,1451.6716,48,,,WOOD LAKE 54-4-23 1H,231041,543373
42389363180000,EOG,8/1/2018,8183,2435.7136,2003.2866,48,767.4815706,763.5025709,STATE CREEK 17-8 UNIT 2H,211626,968928
42389366850000,CHEVRON,9/1/2018,8018,2039.3748,2547.32,44,820.6502421,810.2016758,TRIGGER 39-40 UNIT B 8H,111442.664,449231.7
42475367520100,OCCIDENTAL,12/1/2014,3989,1472.1554,1361.2772,45,,,COVINGTON 34-224 5H,67706.76,329906.4
42389372350000,EOG,9/1/2018,7255,2362.9067,1631.8578,51,753.8705601,753.8705601,STATE COACHMAN C UNIT 2H,189094,952324
42389376630000,COLGATE OPERATING,5/1/2019,10500,2511.0942,3861.0342,43,666.2698393,666.2698393,TINIAN-PREWIT 24-14 UNIT 1H,229530,211196
42389378770000,CENTENNIAL RESOURCE DEVELOPMENT,3/1/2019,7747,2465.6138,2434.894,50,1172.446241,1172.446241,IRON EAGLE UNIT A U 30H,159594.92,360497.75
