,First12MonthOil_BBL,LateralLength_FT,ProppantIntensity_LBSPerFT,WaterIntensity_GALPerFT,OilGravity_API,AvgHzDistAtDrillTimeSameZone_FT,ClosestHzDistAtDrillTimeSameZone_FT,MEDIAN_WFMP Upper A - ARITH_MEAN_DPHI_100,MEDIAN_WFMP Upper A - ARITH_MEAN_Resistivity_ALS,MEDIAN_WFMP Upper A - GROSS,MEDIAN_WFMP Upper A - NET_DPHI>8,MEDIAN_WFMP Upper A - NET_GR>75_DPHI>8,MEDIAN_WFMP Upper A - NET_Res>30,MEDIAN_WFMP_UA_MRKR_SSTVD,VARIANCE_WFMP Upper A - ARITH_MEAN_DPHI_100,VARIANCE_WFMP Upper A - ARITH_MEAN_Resistivity_ALS,VARIANCE_WFMP Upper A - GROSS,VARIANCE_WFMP Upper A - NET_DPHI>8,VARIANCE_WFMP Upper A - NET_GR>75_DPHI>8,VARIANCE_WFMP Upper A - NET_Res>30,VARIANCE_WFMP_UA_MRKR_SSTVD,gor scf/stb
196,168496.0,10175.0,2340.902,2070.1604,48.0,2600.0,2600.0,10.11,101.89,89.54,74.82,71.97,88.47,-7001.73,0.01,159.52,11.87,8.92,6.12,42.66,7716.59,7367.5280125344225
197,332897.0,9356.0,2376.2766,2006.4323,41.0,2600.0,2600.0,8.93,82.02,136.16,94.05,83.15,135.5,-7829.49,0.01,9.02,0.04,1.14,1.4,0.02,158.7,3931.1859223723854
198,146836.22,6298.0,2288.5608,1969.4426,48.0,1523.745428,1523.745428,8.88,85.75,126.55,70.26,72.92,111.47,-7252.55,0.0,0.4,3.81,0.46,0.14,3.26,102.1,5563.004550239716
199,173783.0,8876.0,2878.6516,2375.6782,46.0,893.9950583,893.9950583,6.63,176.98,95.65,31.67,50.02,77.01,-7327.37,1.54,16.53,1.02,50.26,48.95,26.08,130.96,2800.6709517041368
200,53248.0,9406.0,1468.4072,1384.9819,51.0,1853.507995,1853.507995,6.55,100.38,101.15,40.6,,81.01,-5496.48,0.02,24.55,9.31,6.03,,10.6,405.15,11035.64453125
201,159376.33,7562.0,2533.5044,1959.8975,44.0,1043.598779,828.5229365,11.42,123.1,75.43,66.6,60.68,76.92,-7925.28,0.01,43.76,0.04,0.9,0.23,0.13,12.57,2540.539740123267
202,300579.0,10501.0,1905.6967,2025.9642,46.0,906.9177713,906.9177713,9.31,103.17,105.2,79.12,80.89,104.16,-7799.15,0.01,50.61,6.09,4.81,0.07,1.93,474.54,4033.8047568193388
203,147757.0,4559.0,2432.5022,2410.753,45.0,1072.510681,1072.510681,13.64,132.67,93.7,54.25,65.62,73.62,-7600.99,0.33,99.5,0.43,3.35,2.44,1.04,502.99,3693.083914806067
204,295125.0,10165.0,2376.5957,1944.3192,47.0,1839.55261,1839.55261,9.33,47.29,130.5,86.42,,86.44,-5949.69,0.01,3.75,3.21,2.72,,8.36,437.62,3550.570097416349
205,193228.0,6957.0,2617.7354,2736.0974,49.0,656.1093278,656.1093278,8.51,54.46,146.67,100.24,88.43,124.15,-6577.35,0.04,0.1,2.5,32.48,32.11,7.95,344.87,3358.8455089324525
206,176292.0,9898.0,2630.0212,1752.9377,50.0,1315.365731,1315.365731,8.5,49.1,138.65,90.81,85.31,128.61,-6352.22,0.07,1.35,1.06,44.05,28.3,29.51,473.39,4600.27114106142
207,,6595.0,2467.2935,2208.3147,49.0,2600.0,2600.0,9.65,56.45,119.3,97.6,98.76,125.69,-8126.54,0.0,0.49,3.57,0.0,2.2,1.01,1063.43,
208,111066.0,4487.0,,1389.9631,47.0,2600.0,2600.0,-14.89,189.37,85.08,63.77,58.08,78.0,-7393.98,4.67,118.92,7.15,3.51,0.18,2.12,768.04,2409.7563610825996
209,,7251.0,2544.8008,1862.2028,62.0,2600.0,2600.0,11.46,168.49,106.57,83.73,72.97,111.87,-7626.0,0.02,11.2,4.03,0.03,0.06,0.99,75.56,
